samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.latitude,samplingPoint.longitude,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,DISCHARGE_SITE_NAME_1,MATCH_CONFIDENCE_1,PERMIT_NUMBER_1,PERMIT_VERSION_1,DISCHARGE_NGR_1,DISCHARGE_LATITUDE_1,DISCHARGE_LONGITUDE_1,DISCHARGE_EASTING_1,DISCHARGE_NORTHING_1,DISCHARGE_LATITUDE,DISCHARGE_LONGITUDE,DISCHARGE_SITE_NAME_2,MATCH_CONFIDENCE_2,PERMIT_NUMBER_2,PERMIT_VERSION_2,DISCHARGE_NGR_2,DISCHARGE_LATITUDE_2,DISCHARGE_LONGITUDE_2,DISCHARGE_EASTING_2,DISCHARGE_NORTHING_2,DISCHARGE_SITE_NAME_3,MATCH_CONFIDENCE_3,PERMIT_NUMBER_3,PERMIT_VERSION_3,DISCHARGE_NGR_3,DISCHARGE_LATITUDE_3,DISCHARGE_LONGITUDE_3,DISCHARGE_EASTING_3,DISCHARGE_NORTHING_3,DISCHARGE_SITE_NAME_4,MATCH_CONFIDENCE_4,PERMIT_NUMBER_4,PERMIT_VERSION_4,DISCHARGE_NGR_4,DISCHARGE_LATITUDE_4,DISCHARGE_LONGITUDE_4,DISCHARGE_EASTING_4,DISCHARGE_NORTHING_4
SW-50410150,PIDDLEHINTON STW FE,50.7657,-2.3961,372161.634587172,96309.49385903485,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,PIDDLEHINTON STW,100.0,040067,5.0,SY7220096400,50.76651570821239,-2.395562867763141,372200.0,96400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,50.7436,-2.2114,385180.4355245184,93798.39070571568,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,DODDINGS FARM,100.0,043235,2.0,SY8522093780,50.74343563140121,-2.2108385097577807,385220.0,93780.0,,,DODDINGS FARM,100.0,043236,2.0,SY8522093780,50.74343563140121,-2.2108385097577807,385220.0,93780.0,,,,,,,,,,,,,,,,,,
SW-50540137,LOWER MAGISTON WATERCRESS FARM C,50.7631,-2.5185,363527.4668885063,96073.7662505502,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,LOWER MAGISTON WATERCRESS FARM,100.0,401223,3.0,SY6348096120,50.7635127441997,-2.519177582771078,363480.0,96120.0,,,LOWER MAGISTON FISH FARM,88.37209302325581,040291,1.0,SY6349096100,50.76333353087676,-2.519033809783425,363490.0,96100.0,,,,,,,,,,,,,,,,,,
SW-50450167,PURBECK FISHERIES RACEWAY 1,50.6966,-2.1653,388421.4509884944,88563.62551781812,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,PURBECK FISHERIES,100.0,041518,1.0,SY8844088570,50.69665769104919,-2.165037562924572,388440.0,88570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-50450165,PURBECK FISHERIES EARTHPONDS 2,50.6962,-2.1653,388421.3515295348,88519.14507040638,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,PURBECK FISHERIES,100.0,041518,1.0,SY8844088570,50.69665769104919,-2.165037562924572,388440.0,88570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-50570239,DORCHESTER (LOUDS MILL) STW,50.7111,-2.4131,370928.80827968667,90244.4570659489,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,DORCHESTER (LOUDS MILL) STW,100.0,401050,5.0,SY7090090230,50.71096854304897,-2.41350684563295,370900.0,90230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-50570390,TINCLETON EAST WATERCRESS BEDS 1,50.7246,-2.3319,376668.7701126503,91716.8047638212,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,TINCLETON EAST WATERCRESS BEDS,100.0,401059,2.0,SY7669091800,50.72534898535868,-2.3316045135799257,376690.0,91800.0,,,TINCLETON WEST WATERCRESS BEDS,93.54838709677419,401060,2.0,SY7666091800,50.72534777493983,-2.3320295252335876,376660.0,91800.0,,,,,,,,,,,,,,,,,,
SW-50950147,BROWNSEA ISLAND SEWAGE TREATMENT WORKS (NATIONAL TRUST),50.6894,-1.9638,402653.43803587847,87750.51954262654,SouthWest,SOUTH WEST - WESSEX,ECMAS SAMPLING (WESSEX),OPEN,SEWAGE & TRADE COMBINED - UNSPECIFIED,BROWNSEA ISLAND SEWAGE WORKS,100.0,041444,1.0,SZ0267087780,50.68966503164606,-1.9635653262105692,402670.0,87780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-50900722,CORFE CASTLE STW,50.6478,-2.056,396136.9985480218,83125.46596114518,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,CORFE CASTLE STW,100.0,041324,9.0,SY9620083050,50.64712177276458,-2.0551081016593535,396200.0,83050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-50550330,GODMANSTONE STW,50.7667,-2.4751,366590.94824359193,96453.52464706809,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,GODMANSTONE STW,100.0,401521,2.0,SY6651096500,50.76711323093692,-2.4762520227761207,366510.0,96500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
